"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"492120","occ","","","47428","Steno sp.","genus","36855","","Steno","genus","36855","Piacenzian","","3.6","2.588","26039"
"492122","occ","","","47428","Steno bellardii","species","66754","subjective synonym of","Etruridelphis giulii","species","63824","Piacenzian","","3.6","2.588","13332"
"492133","occ","","","49688","Steno sp.","genus","36855","","Steno","genus","36855","Pliocene","","5.333","2.588","13332"
"492134","occ","","","49688","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pliocene","","5.333","2.588","13332"
"492136","occ","","","48652","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Piacenzian","","3.6","2.588","13332"
"492137","occ","","","48652","Globicephala n. sp. etruriae","species","63831","","Globicephala etruriae","species","63831","Piacenzian","","3.6","2.588","13332"
"492143","occ","","","49690","Tursiops ? sp.","genus","36865","","Tursiops","genus","36865","Pliocene","","5.333","2.588","13332"
"496010","occ","","","50068","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Zanclean","","5.333","3.6","13448"
"498212","occ","","","50343","cf. Steno sp.","genus","36855","","Steno","genus","36855","Zanclean","","5.333","3.6","13520"
"502719","occ","","","13063","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Langhian","","15.97","13.82","13629"
"502721","occ","","","51107","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Middle Miocene","","15.97","11.608","13629"
"502729","occ","","","51110","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Langhian","Serravallian","15.97","11.62","13632"
"504612","occ","","","51304","Orca n. sp. paleorca","species","66122","","Orca paleorca","species","66122","Calabrian","","1.806","0.781","13658"
"506101","occ","","","51328","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Zanclean","","5.333","3.6","13672"
"506159","occ","","","51335","Delphinidae ? indet.","family","42953","","Delphinidae","family","42953","Zanclean","","5.333","3.6","13672"
"506478","occ","","","50343","Delphinidae ? indet.","family","42953","","Delphinidae","family","42953","Zanclean","","5.333","3.6","13672"
"506565","occ","","","51414","Delphinidae ? indet.","family","42953","","Delphinidae","family","42953","Early Pliocene","Late Pliocene","5.333","2.588","13672"
"513755","occ","13266","","52062","n. gen. Astadelphis gastaldii","species","95850","","Astadelphis gastaldii","species","63833","Piacenzian","","3.6","2.588","12278"
"513756","occ","28510","","52063","Astadelphis gastaldii","species","95850","","Astadelphis gastaldii","species","63833","Zanclean","Piacenzian","5.333","2.588","46337"
"513757","occ","","","52064","Stenella giulii","species","63825","recombined as","Etruridelphis giulii","species","63824","Pliocene","","5.333","2.588","12278"
"513758","occ","","","52065","Stenella sp.","genus","102903","","Stenella","genus","36854","Pliocene","","5.333","2.588","12278"
"513759","occ","","","52066","n. gen. Hemisyntrachelus n. sp. cortesii","species","63827","","Hemisyntrachelus cortesii","species","64535","Pliocene","","5.333","2.588","12278"
"513760","occ","","","52067","Orcinus citoniensis","species","63830","","Orcinus citoniensis","species","67992","Pliocene","","5.333","2.588","12278"
"515486","occ","","","52185","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Tortonian","","11.62","7.246","6029"
"515832","occ","","","52184","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Tortonian","","11.62","7.246","6029"
"516012","occ","","","52218","Stenella sp.","genus","102903","","Stenella","genus","36854","Piacenzian","","3.6","2.588","6029"
"518067","occ","","","52580","cf. Lagenorhynchus sp.","genus","36746","","Lagenorhynchus","genus","36746","Zanclean","","5.333","3.6","13621"
"518070","occ","","","52582","aff. Lagenorhynchus sp.","genus","36746","","Lagenorhynchus","genus","36746","Zanclean","","5.333","3.6","14141"
"518071","occ","","","48093","Lagenorhynchus acutus","species","63821","recombined as","Leucopleurus acutus","species","102679","Gelasian","","2.588","1.806","14141"
"518527","occ","","","52671","Orcinus sp.","genus","36787","","Orcinus","genus","36787","Early Pleistocene","","2.588","0.781","14162"
"520934","occ","","","28039","Pseudorca sp.","genus","36837","","Pseudorca","genus","36837","Waipipian","","3.6","3","14399"
"520935","occ","","","28039","Orcinus sp.","genus","36787","","Orcinus","genus","36787","Waipipian","","3.6","3","14399"
"520936","occ","","","28039","Delphinus aff. delphis","species","64534","","Delphinus delphis","species","64534","Waipipian","","3.6","3","14399"
"520937","occ","","","28039","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Waipipian","","3.6","3","14399"
"520940","occ","","","28039","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Waipipian","","3.6","3","14399"
"527930","occ","","","53882","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Miocene","","23.03","5.333","14508"
"527931","occ","","","53883","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Miocene","","11.608","5.333","14509"
"528203","occ","","","53930","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Miocene","Pliocene","23.03","2.588","14545"
"529513","occ","","","54099","Orca n. sp. citoniensis","species","67992","recombined as","Orcinus citoniensis","species","67992","Piacenzian","","3.6","2.588","14619"
"530155","occ","","","54129","Lagenorhynchus obliquidens","species","63815","invalid subgroup of","Lissodelphininae","subfamily","63525","Holocene","","0.0117","0","14632"
"530156","occ","","","54129","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Holocene","","0.0117","0","14632"
"530157","occ","","","54129","Tursiops truncatus","species","64472","","Tursiops truncatus","species","102834","Holocene","","0.0117","0","14632"
"530158","occ","","","54129","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","14632"
"530159","occ","","","54129","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","14632"
"530160","occ","","","54129","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","14632"
"530293","occ","","","54157","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Pliocene","","5.333","2.588","14642"
"530530","occ","","","54186","Globicephala sp.","genus","36721","","Globicephala","genus","36721","Late Miocene","Early Pliocene","11.608","3.6","14661"
"536114","occ","","","55451","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Neogene","","23.03","2.588","14950"
"536115","occ","","","55451","Stenella sp.","genus","102903","","Stenella","genus","36854","Neogene","","23.03","2.588","14950"
"536116","occ","","","55451","Grampus griseus","species","63557","","Grampus griseus","species","63556","Neogene","","23.03","2.588","14950"
"536654","occ","","","55533","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Holocene","","0.0117","0","14999"
"536655","occ","","","55533","Tursiops truncatus","species","64472","","Tursiops truncatus","species","102834","Holocene","","0.0117","0","14999"
"536660","occ","","","55535","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Messinian","","7.246","5.333","15001"
"536684","occ","","","55542","Tursiops capellinii","species","71644","","Tursiops capellinii","species","71644","Piacenzian","","3.6","2.588","15006"
"536896","occ","","","55605","Tursiops sp.","genus","36865","","Tursiops","genus","36865","Holocene","","0.0117","0","15019"
"537012","occ","","","55643","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Zanclean","","5.333","3.6","14859"
"537893","occ","","","55759","Hemisyntrachelus cortesii","species","63827","","Hemisyntrachelus cortesii","species","64535","Piacenzian","","3.6","2.588","15062"
"541354","occ","","","56640","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Pliocene","","5.333","2.588","15246"
"545025","occ","","","13079","Globicephalinae indet.","subfamily","63528","","Globicephalinae","subfamily","102698","Messinian","","7.246","5.333","15398"
"545064","occ","15676","","57058","n. gen. Arimidelphis n. sp. sorbinii","species","70033","","Arimidelphis sorbinii","species","70033","Piacenzian","Gelasian","3.6","1.806","15589"
"545721","occ","","","57138","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Pliocene","","5.333","2.588","15444"
"546025","occ","","","57177","Globicephalus n. sp. baereckeii","species","69230","subjective synonym of","Globicephala macrorhynchus","species","69994","Calabrian","","1.806","0.781","15425"
"557587","occ","","","52582","Stenella sp.","genus","102903","","Stenella","genus","36854","Zanclean","","5.333","3.6","6011"
"557588","occ","","","52582","Pseudorca sp.","genus","36837","","Pseudorca","genus","36837","Zanclean","","5.333","3.6","6011"
"557589","occ","","","52582","Tursiops sp.","genus","36865","","Tursiops","genus","36865","Zanclean","","5.333","3.6","6011"
"557590","occ","","","52582","Globicephala sp.","genus","36721","","Globicephala","genus","36721","Zanclean","","5.333","3.6","6011"
"557591","occ","","","52582","cf. Delphinus sp.","genus","36703","","Delphinus","genus","36703","Zanclean","","5.333","3.6","6011"
"557652","occ","","","57779","Stenella sp.","genus","102903","","Stenella","genus","36854","Pliocene","","5.333","2.588","15591"
"558462","occ","","","57979","""Stenella"" sp.","genus","102903","","Stenella","genus","36854","Pliocene","","5.333","2.588","15591"
"558468","occ","","","57981","Stenella sp.","genus","102903","","Stenella","genus","36854","Pliocene","","5.333","2.588","15591"
"559104","occ","","","58109","Phocaena n. sp. crassidens","species","64543","recombined as","Pseudorca crassidens","species","64543","Late Pleistocene","","0.126","0.0117","12774"
"560684","occ","20153","","58418","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Pliocene","","5.333","2.588","13332"
"564742","occ","","","19703","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Piacenzian","","3.6","2.588","1360"
"565357","occ","","","46083","cf. Stenella sp.","genus","102903","","Stenella","genus","36854","Messinian","","7.246","5.333","16797"
"583616","occ","","","21695","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pleistocene","","2.588","0.0117","17685"
"608454","occ","","","20636","cf. Tursiops sp.","genus","36865","","Tursiops","genus","36865","Late Pleistocene","","0.126","0.0117","18730"
"610346","occ","","","65405","Tursiops cf. truncatus","species","64472","","Tursiops truncatus","species","102834","Pleistocene","","2.588","0.0117","18853"
"613845","occ","","","65985","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Miocene","","23.03","5.333","18909"
"614663","occ","","","65174","Hemisyntrachelus sp.","genus","36724","","Hemisyntrachelus","genus","87353","Pleistocene","","2.588","0.0117","15045"
"614668","occ","","","66067","Hemisyntrachelus sp.","genus","36724","","Hemisyntrachelus","genus","87353","Piacenzian","Gelasian","3.6","1.806","15045"
"614669","occ","","","66068","Hemisyntrachelus sp.","genus","36724","","Hemisyntrachelus","genus","87353","Piacenzian","Gelasian","3.6","1.806","15045"
"616589","occ","","","66306","Delphinus n. sp. karsteni","species","87420","recombined as","Globicephalus karsteni","species","87420","Neogene","","23.03","2.588","18971"
"623389","occ","","","67108","Tursiops n. sp. capellinii","species","71644","","Tursiops capellinii","species","71644","Zanclean","","5.333","3.6","19138"
"632288","occ","","","68029","Orcaella brevirostris","species","108775","","Orcaella brevirostris","species","63582","Holocene","","0.0117","0","19476"
"632290","occ","","","68030","Steno bredanensis","species","64536","","Steno bredanensis","species","63567","Holocene","","0.0117","0","19477"
"632291","occ","","","68030","Stenella longirostris","species","82057","","Stenella longirostris","species","82058","Holocene","","0.0117","0","19477"
"632293","occ","","","68031","Sotalia guianensis","species","69750","subjective synonym of","Sotalia fluviatilis","species","94788","Holocene","","0.0117","0","19478"
"643857","occ","","","69528","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Messinian","","7.246","5.333","23345"
"643871","occ","","","56738","Delphinidae indet.","family","42953","","Delphinidae","family","42953","MN 6","","13.65","12.75","23346"
"643955","occ","","","69541","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Gelasian","","2.588","1.806","23350"
"645729","occ","","","69731","Hemisyntrachelus sp.","genus","36724","","Hemisyntrachelus","genus","87353","Zanclean","","5.333","3.6","23394"
"650873","occ","","","70360","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Early Miocene","","23.03","15.97","23602"
"653253","occ","","","51328","cf. Tursiops sp.","genus","36865","","Tursiops","genus","36865","Zanclean","","5.333","3.6","23666"
"653254","occ","","","51328","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Zanclean","","5.333","3.6","23666"
"661548","occ","","","71269","Sotalia sp.","genus","63558","","Sotalia","genus","63558","Holocene","","0.0117","0","24063"
"666829","occ","","","71801","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Langhian","","15.97","13.82","24251"
"666830","occ","","","70819","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Langhian","","15.97","13.82","24251"
"666831","occ","","","45506","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Langhian","","15.97","13.82","24251"
"666904","occ","","","71615","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Langhian","","15.97","13.82","24251"
"666905","occ","","","71813","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Langhian","","15.97","13.82","24251"
"666906","occ","","","71809","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Langhian","","15.97","13.82","24251"
"683543","occ","","","73686","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Late Pleistocene","","0.126","0.0117","24700"
"683650","occ","22820","","55827","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Zanclean","","5.333","3.6","12845"
"683652","occ","","","73730","Tursiops tursio","species","69756","subjective synonym of","Tursiops truncatus","species","102834","Pleistocene","","2.588","0.0117","24709"
"683675","occ","","","20624","aff. Tursiops sp.","genus","36865","","Tursiops","genus","36865","Rancholabrean","","0.3","0.012","2588"
"693851","occ","","","74757","cf. Orcinus sp.","genus","36787","","Orcinus","genus","36787","Nukumaruan","","2.4","1.63","25068"
"693852","occ","","","74757","cf. Pseudorca sp.","genus","36837","","Pseudorca","genus","36837","Nukumaruan","","2.4","1.63","25068"
"699721","occ","","","75142","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","25368"
"699722","occ","","","75142","Tursiops truncatus","species","64472","","Tursiops truncatus","species","102834","Holocene","","0.0117","0","25368"
"706233","occ","","","75784","Delphininae indet.","subfamily","63524","","Delphininae","subfamily","63524","Blancan","","4.9","1.8","12297"
"706235","occ","","","20624","Lagenorhynchus sp.","genus","36746","","Lagenorhynchus","genus","36746","Rancholabrean","","0.3","0.012","12297"
"708969","occ","","","75973","Globicephalus sp.","genus","69229","misspelling of, obsolete variant of","Globicephala","genus","36721","Holocene","","0.0117","0","25706"
"709196","occ","26847","","75993","Stenella n. sp. kabatensis","species","136478","recombined as","Eodelphinus kabatensis","species","136478","Late Miocene","","11.608","5.333","14508"
"709198","occ","","","56358","Orcinus orca","species","64541","","Orcinus orca","species","64540","Early Pliocene","","5.333","3.6","12148"
"709240","occ","","","76002","Orcinus sp.","genus","36787","","Orcinus","genus","36787","Early Pleistocene","","2.588","0.781","12148"
"709258","occ","","","76011","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Pliocene","","3.6","2.588","12148"
"709264","occ","","","76013","Grampus griseus","species","63557","","Grampus griseus","species","63556","Early Pliocene","","5.333","3.6","12148"
"709267","occ","","","56950","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Tortonian","","11.62","7.246","12148"
"709270","occ","","","56942","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Early Pliocene","Late Pliocene","5.333","2.588","12148"
"709273","occ","","","76018","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pleistocene","","2.588","0.0117","12148"
"709274","occ","","","76019","Orca paleorca","species","66122","","Orca paleorca","species","66122","Early Pleistocene","","2.588","0.781","12148"
"709275","occ","","","76020","Pseudorca yokoyamai","species","63804","","Pseudorca yokoyamai","species","63804","Early Pleistocene","","2.588","0.781","12148"
"709276","occ","","","76021","Orcinus sp.","genus","36787","","Orcinus","genus","36787","Middle Pleistocene","","0.781","0.126","12148"
"709281","occ","","","76023","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Early Pleistocene","","2.588","0.781","12148"
"709282","occ","","","76023","Stenella sp.","genus","102903","","Stenella","genus","36854","Early Pleistocene","","2.588","0.781","12148"
"709285","occ","","","76024","Pseudorca yokoyamai","species","63804","","Pseudorca yokoyamai","species","63804","Early Pleistocene","","2.588","0.781","12148"
"709289","occ","","","76027","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Piacenzian","","3.6","2.588","12148"
"709290","occ","","","76027","Globiocephalinae indet.","subfamily","102879","obsolete variant of","Globicephalinae","subfamily","102698","Piacenzian","","3.6","2.588","12148"
"709766","occ","","","76033","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Middle Miocene","","15.97","11.608","12148"
"709768","occ","","","56305","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Langhian","","15.97","13.82","12148"
"709799","occ","","","53885","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pliocene","","5.333","2.588","12148"
"709816","occ","","","76037","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pliocene","","5.333","2.588","12148"
"709827","occ","","","76039","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pliocene","","5.333","2.588","12148"
"709841","occ","","","76042","Stenella longirostris","species","82057","","Stenella longirostris","species","82058","Holocene","","0.0117","0","12148"
"715940","occ","","","76844","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Early Pleistocene","","2.588","0.781","25983"
"715941","occ","","","76845","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Neogene","","23.03","2.588","25983"
"717770","occ","","","47428","Delphinus brocchii","species","70676","obsolete variant of","Tursiops brocchii","species","87357","Piacenzian","","3.6","2.588","26035"
"722390","occ","","","77492","cf. Tursiops sp.","genus","36865","","Tursiops","genus","36865","Zanclean","","5.333","3.6","26217"
"722391","occ","","","77492","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Zanclean","","5.333","3.6","26217"
"722465","occ","","","52582","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Zanclean","","5.333","3.6","26220"
"722466","occ","","","52582","Lagenorhynchus n. sp. harmatuki","species","114702","","Lagenorhynchus harmatuki","species","114702","Zanclean","","5.333","3.6","26220"
"722467","occ","","","52582","Lagenorhynchus sp.","genus","36746","","Lagenorhynchus","genus","36746","Zanclean","","5.333","3.6","26220"
"722468","occ","","","52582","Stenella n. sp. rayi","species","114703","","Stenella rayi","species","114703","Zanclean","","5.333","3.6","26220"
"722469","occ","","","52582","cf. Stenella sp.","genus","102903","","Stenella","genus","36854","Zanclean","","5.333","3.6","26220"
"722470","occ","","","52582","Tursiops sp.","genus","36865","","Tursiops","genus","36865","Zanclean","","5.333","3.6","26220"
"722471","occ","","","52582","Globicephala sp.","genus","36721","","Globicephala","genus","36721","Zanclean","","5.333","3.6","26220"
"722472","occ","","","52582","Pseudorca sp.","genus","36837","","Pseudorca","genus","36837","Zanclean","","5.333","3.6","26220"
"722500","occ","","","52582","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Zanclean","","5.333","3.6","26221"
"722501","occ","","","52582","cf. Delphinidae indet.","family","42953","","Delphinidae","family","42953","Zanclean","","5.333","3.6","26221"
"724130","occ","","","58419","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Middle Pleistocene","","0.781","0.126","26261"
"742081","occ","","","79757","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Rancholabrean","","0.3","0.012","26822"
"745051","occ","","","79916","cf. Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","26852"
"745279","occ","","","79949","Globicephala macrorhyncha","species","149111","recombined as","Globicephala macrorhynchus","species","69994","Pleistocene","","2.588","0.0117","26872"
"750053","occ","","","80237","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Neogene","","23.03","2.588","26984"
"751288","occ","","","80382","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Neogene","","23.03","2.588","27035"
"753626","occ","","","80694","Globicephalinae indet.","subfamily","63528","","Globicephalinae","subfamily","102698","Miocene","","23.03","5.333","27140"
"768342","occ","","","82087","Sousa chinensis","species","63566","","Sousa chinensis","species","82053","Holocene","","0.0117","0","27681"
"768343","occ","","","82087","Tursiops aduncus","species","69767","","Tursiops aduncus","species","69766","Holocene","","0.0117","0","27681"
"768353","occ","","","82088","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","27682"
"768354","occ","","","82088","Lagenorhynchus obliquidens","species","63815","invalid subgroup of","Lissodelphininae","subfamily","63525","Holocene","","0.0117","0","27682"
"768357","occ","","","82089","Peponocephala electra","species","63581","","Peponocephala electra","species","63580","Holocene","","0.0117","0","27683"
"768358","occ","","","82090","Peponocephala electra","species","63581","","Peponocephala electra","species","63580","Holocene","","0.0117","0","27683"
"768359","occ","","","82091","Lagenodelphis hosei","species","63574","","Lagenodelphis hosei","species","63574","Holocene","","0.0117","0","27684"
"768360","occ","","","82092","Feresa attenuata","species","63583","","Feresa attenuata","species","63583","Holocene","","0.0117","0","27685"
"768361","occ","","","82093","Cephalorhynchus commersoni","species","64537","","Cephalorhynchus commersoni","species","63576","Holocene","","0.0117","0","27686"
"770674","occ","","","53897","Tursiops truncatus","species","64472","","Tursiops truncatus","species","102834","Calabrian","","1.806","0.781","27789"
"777660","occ","","","83454","Tursiops aduncus","species","69767","","Tursiops aduncus","species","69766","Holocene","","0.0117","0","27683"
"777664","occ","","","83457","Tursiops sp.","genus","36865","","Tursiops","genus","36865","Holocene","","0.0117","0","27683"
"777668","occ","","","83458","Tursiops sp.","genus","36865","","Tursiops","genus","36865","Holocene","","0.0117","0","27683"
"777679","occ","","","83454","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","27683"
"777711","occ","","","83473","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","27683"
"777712","occ","","","83474","Globicephala macrorhynchus","species","69995","","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","27683"
"777713","occ","","","83475","Globicephala sp.","genus","36721","","Globicephala","genus","36721","Holocene","","0.0117","0","27683"
"777739","occ","","","83500","Stenella longirostris","species","82057","","Stenella longirostris","species","82058","Holocene","","0.0117","0","27683"
"777740","occ","","","83501","Stenella longirostris","species","82057","","Stenella longirostris","species","82058","Holocene","","0.0117","0","27683"
"786792","occ","","","84891","cf. Lissodelphis sp.","genus","63570","","Lissodelphis","genus","63570","Rancholabrean","","0.3","0.012","2018"
